"Nome do anúncio",Idade,"Estado de apresentação","Nível de apresentação",Alcance,Impressões,Frequência,"Montante gasto (BRL)","Reprodução de 25% do vídeo","Reproduções de 50% do vídeo","Reprodução de 75% do vídeo","Seguimentos no Instagram","Interações com a publicação","Reações à publicação","Partilhas da publicação","Início dos relatórios","Fim dos relatórios"
"Entrega de mais de setenta enxovais gratuitos",25-34,active,ad,3623,4551,1.25614132,21.93978739,352,237,189,0,1415,64,16,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",25-34,active,ad,2563,3243,1.26531409,16.62555742,131,65,28,0,961,21,3,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos",35-44,active,ad,2088,2588,1.2394636,14.19337027,178,122,93,1,947,29,4,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",25-34,active,ad,2609,2956,1.13300115,13.61583948,216,143,110,1,748,17,6,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",18-24,active,ad,1961,2525,1.28760836,11.99006706,108,58,27,0,705,12,3,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos",18-24,active,ad,2095,2767,1.32076372,11.55414882,165,109,82,0,708,31,6,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",18-24,active,ad,2101,2407,1.14564493,10.0876845,145,87,62,4,513,14,4,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos",45-54,active,ad,1231,1575,1.2794476,9.93233718,87,55,41,0,675,14,1,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",35-44,active,ad,1382,1599,1.15701881,9.16509225,110,69,52,0,476,16,,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",35-44,active,ad,1154,1467,1.2712305,8.69906957,74,41,15,0,510,11,,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!",35-44,active,ad,1069,1225,1.14593078,6.5809928,191,85,51,0,423,26,1,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!",25-34,active,ad,1258,1455,1.15659777,6.56071239,174,71,43,1,369,12,,2026-06-01,2026-06-09
"Duas Novas UBSs",25-34,recently_rejected,ad,1301,1374,1.05611068,6.2,103,55,41,2,392,16,1,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos",55-64,active,ad,695,900,1.29496403,5.78211109,55,29,21,0,465,11,,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",45-54,active,ad,781,904,1.1574904,5.34292435,69,43,25,0,303,11,,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",45-54,active,ad,651,809,1.24270353,5.2375021,33,20,15,0,320,10,,2026-06-01,2026-06-09
