"Nome do anúncio",Género,"Estado de apresentação","Nível de apresentação",Alcance,Impressões,Frequência,"Montante gasto (BRL)","Reprodução de 25% do vídeo","Reproduções de 50% do vídeo","Reprodução de 75% do vídeo","Seguimentos no Instagram","Interações com a publicação","Reações à publicação","Partilhas da publicação","Início dos relatórios","Fim dos relatórios"
"Entrega de mais de setenta enxovais gratuitos",female,active,ad,6437,8237,1.27963337,43.55722713,681,472,382,1,3046,127,21,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",female,active,ad,3851,4772,1.23915866,26.9600922,212,128,69,0,1611,33,4,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",male,active,ad,4470,4997,1.11789709,25.30538745,383,241,181,3,1409,42,6,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos",male,active,ad,3796,4680,1.23287671,23.69255278,189,100,59,0,1480,27,7,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",male,active,ad,3163,3969,1.25482137,20.82960604,173,78,29,0,1237,29,2,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",female,active,ad,3179,3646,1.14690154,18.60392066,250,164,113,2,971,33,4,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!",female,active,ad,2441,2875,1.17779599,15.37255021,422,191,114,1,976,42,1,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!",male,active,ad,1972,2188,1.10953347,11.33674877,257,107,68,0,619,25,1,2026-06-01,2026-06-09
"Duas Novas UBSs",male,recently_rejected,ad,1892,2077,1.09778013,10.18,204,109,62,0,699,23,1,2026-06-01,2026-06-09
"Duas Novas UBSs",female,recently_rejected,ad,1789,1893,1.05813304,9.8,156,74,49,2,553,11,,2026-06-01,2026-06-09
"MAIS DE 200 PESSOAS INICIARAM NO PROJETO CRESCER!",male,active,ad,277,318,1.14801444,1.77657895,8,4,2,0,75,2,,2026-06-01,2026-06-09
"MAIS DE 200 PESSOAS INICIARAM NO PROJETO CRESCER!",female,active,ad,259,282,1.08880309,1.39440789,2,2,2,0,84,2,,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",unknown,active,ad,12,13,1.08333333,0.09030176,2,1,,0,6,,,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!",unknown,active,ad,7,9,1.28571429,0.05070102,2,1,,0,3,1,,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",unknown,active,ad,17,19,1.11764706,0.05069188,1,1,1,0,5,,,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos",unknown,active,ad,10,10,1,0.03022009,2,1,1,0,5,,,2026-06-01,2026-06-09
"MAIS DE 200 PESSOAS INICIARAM NO PROJETO CRESCER!",unknown,active,ad,3,3,1,0.01032895,,,,0,1,,,2026-06-01,2026-06-09
"Duas Novas UBSs",unknown,recently_rejected,ad,6,6,1,0.01,,,,0,1,,,2026-06-01,2026-06-09
