"Nome do anúncio",Posicionamento,"Estado de apresentação","Nível de apresentação",Alcance,Impressões,Frequência,"Montante gasto (BRL)","Reprodução de 25% do vídeo","Reproduções de 50% do vídeo","Reprodução de 75% do vídeo","Seguimentos no Instagram","Interações com a publicação","Reações à publicação","Partilhas da publicação","Início dos relatórios","Fim dos relatórios"
"Entrega de mais de setenta enxovais gratuitos",Feed,active,ad,6281,7136,1.13612482,40.38411738,517,356,278,1,2938,100,19,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026","Reels do Instagram",active,ad,3704,4233,1.14281857,22.53530595,249,131,52,0,1445,29,4,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos","Reels do Instagram",active,ad,3997,4670,1.16837628,22.21176823,350,214,162,0,1344,54,8,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120","Reels do Instagram",active,ad,4063,4392,1.08097465,22.03069188,324,233,162,5,1165,32,7,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026",Feed,active,ad,3089,3557,1.15150534,21.22091366,137,76,46,0,1252,33,2,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120",Feed,active,ad,3225,3496,1.08403101,18.6748893,251,170,131,0,1074,43,3,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!",Feed,active,ad,2353,2606,1.10752231,14.34838954,366,172,112,0,994,47,2,2026-06-01,2026-06-09
"Duas Novas UBSs","Reels do Instagram",recently_rejected,ad,2123,2273,1.07065473,11.09,214,123,69,0,686,23,1,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!","Reels do Instagram",active,ad,1890,2045,1.08201058,10.16048503,266,129,71,1,527,21,,2026-06-01,2026-06-09
"Duas Novas UBSs",Feed,recently_rejected,ad,1320,1354,1.02575758,7.48,115,60,42,2,492,11,,2026-06-01,2026-06-09
"Entrega de mais de setenta enxovais gratuitos","Histórias do Instagram",active,ad,1019,1121,1.10009814,4.68411439,5,3,2,0,249,,1,2026-06-01,2026-06-09
"AQUECENDO CORAÇÕES 2026","Histórias do Instagram",active,ad,921,964,1.04668838,4.19401509,1,,,0,157,,,2026-06-01,2026-06-09
"VEM AÍ A NOVA UBS E O COMPLEXO ESPORTIVO DO BAIRRO 120","Histórias do Instagram",active,ad,734,774,1.05449591,3.25441882,59,3,2,0,146,,,2026-06-01,2026-06-09
"MAIOR VALORIZAÇÃO DA HISTÓRIA DOS SERVIDORES!","Histórias do Instagram",active,ad,372,421,1.13172043,1.88607806,57,1,1,0,98,,,2026-06-01,2026-06-09
"MAIS DE 200 PESSOAS INICIARAM NO PROJETO CRESCER!","Reels do Instagram",active,ad,298,319,1.0704698,1.57,6,4,2,0,75,2,,2026-06-01,2026-06-09
"Duas Novas UBSs","Histórias do Instagram",recently_rejected,ad,349,349,1,1.42,31,,,0,75,,,2026-06-01,2026-06-09
"MAIS DE 200 PESSOAS INICIARAM NO PROJETO CRESCER!",Feed,active,ad,236,246,1.04237288,1.40473684,4,2,2,0,80,2,,2026-06-01,2026-06-09
"MAIS DE 200 PESSOAS INICIARAM NO PROJETO CRESCER!","Histórias do Instagram",active,ad,36,38,1.05555556,0.20657895,,,,0,7,,,2026-06-01,2026-06-09
